Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Level
GCA_011537325.1	ASM1153732v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009948555.1	ASM994855v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009948525.1	ASM994852v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537785.1	ASM1153778v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964063075.1	INEI102462	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009948495.1	ASM994849v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537815.1	ASM1153781v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964061925.1	INEI100046	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964063175.1	INEI100606	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964062545.1	INEI102863	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964169925.1	INEI123057	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964158755.1	INEI121769	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545455.1	ASM1154545v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964174435.1	INEI124296	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964156555.1	INEI121590	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964164525.1	INEI122706	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964176595.1	INEI123969	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964126995.1	INEI116438	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964174545.1	INEI124298	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964182765.1	INEI125205	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964183585.1	INEI125321	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964183625.1	INEI125296	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964184145.1	INEI125319	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964169135.1	INEI123479	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964183635.1	INEI125295	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964184455.1	INEI125325	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937885.1	ASM993788v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964171925.1	INEI123908	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964164495.1	INEI122716	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964175735.1	INEI124049	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964177385.1	INEI124305	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964183535.1	INEI125257	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964183695.1	INEI125234	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964184085.1	INEI125323	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545495.1	ASM1154549v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964168495.1	INEI123363	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964174665.1	INEI124370	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964183405.1	INEI125316	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537225.1	BetaCoV/Hangzhou/HZ-1/2020	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964062235.1	INEI102336	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964155015.1	INEI121567	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964159045.1	INEI121731	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964024105.1	s_37507-e_631	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964069765.1	INEI106458	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964177225.1	INEI124260	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545545.1	ASM1154554v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964073485.1	INEI106121	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964074055.1	INEI106709	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964077725.1	INEI107646	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964069155.1	INEI105823	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964072115.1	INEI106562	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964092805.1	INEI111004	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964066825.1	INEI105466	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964067175.1	INEI105476	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964071795.1	INEI106077	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964074175.1	INEI107063	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964074385.1	INEI107071	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964076995.1	INEI107289	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964077795.1	INEI107676	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964077875.1	INEI107132	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964078035.1	INEI107272	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
